                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1179,                 4.2601,                 1.4081,                 0.0119,                      1,                 0.3539,                0.12972,                 1.4648,                 3.9196,                 1.0591,             0.00018337,             0.00018337,             0.00018337
                      2,                  1.491,                  2.173,                 1.0901,                0.00903,                0.77778,                0.41853,                0.17197,                 1.3726,                 3.6159,                0.99319,             0.00038309,             0.00038309,             0.00038309
                      3,                 1.4517,                 1.7276,                 1.1016,                 0.0011,                0.11111,                0.00175,                 0.0014,                 1.3949,                 3.6767,                 1.0521,             0.00058249,             0.00058249,             0.00058249
                      4,                 1.4382,                 1.6831,                  1.113,                0.01122,                      1,                  0.962,                0.58895,                  1.443,                 3.2858,                 1.0191,             0.00078155,             0.00078155,             0.00078155
                      5,                 1.4867,                 1.6677,                 1.1138,                0.85407,                      1,                  0.995,                0.62506,                 1.3421,                 2.5767,                0.99199,             0.00098028,             0.00098028,             0.00098028
                      6,                 1.4789,                 1.5604,                 1.1223,                      1,                0.21115,                  0.995,                0.61308,                 1.3283,                 2.5772,                 1.0806,              0.0011787,              0.0011787,              0.0011787
                      7,                 1.4267,                 1.4536,                 1.1369,                      1,                 0.4386,                  0.984,                  0.619,                 1.4474,                 2.3229,                 1.1143,              0.0013768,              0.0013768,              0.0013768
                      8,                 1.3743,                 1.3449,                 1.1132,                0.84114,                0.88889,                0.91389,                0.49723,                 1.5889,                 1.9896,                  1.175,              0.0015745,              0.0015745,              0.0015745
                      9,                 1.3812,                 1.3246,                  1.143,                0.98258,                0.88889,                0.96115,                0.46482,                 1.6165,                  1.962,                 1.2358,               0.001656,               0.001656,               0.001656
                     10,                  1.393,                 1.3437,                 1.1272,                      1,                0.56716,                0.96115,                0.59282,                 1.4645,                 2.1688,                 1.1785,               0.001656,               0.001656,               0.001656
                     11,                 1.3738,                 1.2489,                 1.1157,                0.89612,                0.96115,                  0.973,                0.59645,                 1.2952,                 1.3218,                 1.0778,              0.0016546,              0.0016546,              0.0016546
                     12,                  1.386,                 1.2104,                 1.0997,                0.79778,                      1,                  0.955,                0.42978,                 1.7351,                 1.2467,                 1.2369,              0.0016532,              0.0016532,              0.0016532
                     13,                 1.3095,                 1.1305,                 1.0884,                0.88589,                      1,                  0.951,                0.58606,                 1.5901,                 1.3086,                 1.2037,              0.0016519,              0.0016519,              0.0016519
                     14,                 1.2889,                 1.0859,                 1.0935,                0.89806,                0.88889,                0.88586,                0.46444,                 1.7518,                 1.3954,                 1.2404,              0.0016505,              0.0016505,              0.0016505
                     15,                  1.345,                 1.1007,                  1.083,                0.89366,                      1,                  0.973,                0.52875,                  1.523,                  1.107,                 1.1726,              0.0016491,              0.0016491,              0.0016491
                     16,                 1.3578,                0.99697,                 1.1132,                 0.8902,                      1,                  0.918,                0.50955,                 1.5274,                 1.0898,                 1.2369,              0.0016477,              0.0016477,              0.0016477
                     17,                 1.3312,                  1.045,                 1.1409,                0.88774,                      1,                   0.94,                0.65056,                 1.2931,                0.99895,                 1.1069,              0.0016464,              0.0016464,              0.0016464
                     18,                 1.3461,                 1.0129,                 1.0999,                0.89426,                      1,                  0.995,                0.53926,                 1.5485,                0.92721,                 1.2041,               0.001645,               0.001645,               0.001645
                     19,                 1.3231,                0.99242,                 1.1156,                0.98365,                      1,                  0.995,                0.62596,                 1.5014,                0.92241,                 1.1953,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3589,                0.94597,                 1.1168,                      1,                0.95446,                  0.995,                0.62818,                  1.415,                0.83514,                 1.1386,              0.0016422,              0.0016422,              0.0016422
                     21,                 1.3194,                0.91984,                 1.0938,                      1,                0.97755,                  0.995,                0.60142,                  1.527,                0.84662,                 1.1939,              0.0016409,              0.0016409,              0.0016409
                     22,                 1.3218,                0.92095,                 1.0872,                0.89499,                      1,                  0.951,                 0.5522,                 1.4565,                0.83345,                   1.17,              0.0016395,              0.0016395,              0.0016395
                     23,                 1.3223,                0.89283,                 1.0842,                0.88996,                      1,                  0.962,                0.50248,                 1.6747,                0.92388,                 1.2784,              0.0016381,              0.0016381,              0.0016381
                     24,                 1.3298,                0.90076,                 1.1242,                0.93433,                      1,                  0.995,                0.60888,                 1.5176,                0.81122,                  1.167,              0.0016367,              0.0016367,              0.0016367
                     25,                 1.3418,                0.88375,                 1.1185,                0.93242,                      1,                  0.995,                0.55088,                 1.5292,                 0.8607,                 1.1974,              0.0016354,              0.0016354,              0.0016354
                     26,                 1.3464,                0.87758,                 1.1229,                0.88979,                      1,                  0.951,                0.54176,                 1.5238,                0.93683,                 1.1871,               0.001634,               0.001634,               0.001634
                     27,                 1.4011,                0.90353,                  1.129,                 0.8874,                      1,                  0.929,                 0.5084,                 1.4855,                0.89129,                  1.185,              0.0016326,              0.0016326,              0.0016326
                     28,                 1.3341,                 0.8848,                 1.1148,                0.92316,                      1,                  0.995,                0.61387,                 1.4927,                0.76446,                 1.1635,              0.0016312,              0.0016312,              0.0016312
                     29,                 1.2932,                0.87619,                 1.0807,                0.91852,                      1,                  0.995,                0.56086,                 1.6023,                0.76997,                 1.2167,              0.0016299,              0.0016299,              0.0016299
                     30,                 1.2978,                 0.8405,                 1.0758,                0.88652,                0.86991,                  0.973,                0.51605,                 1.6751,                 1.4407,                 1.2738,              0.0016285,              0.0016285,              0.0016285
                     31,                 1.3329,                0.80976,                 1.1072,                0.89081,                      1,                  0.984,                0.54561,                 1.4688,                0.80776,                 1.1898,              0.0016271,              0.0016271,              0.0016271
