                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7072,                 4.2953,                 1.6587,                      0,                      0,                      0,                      0,                 2.5787,                 4.1127,                 1.8951,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                  2.657,                 4.3466,                 1.6455,                0.00679,                      1,                0.00706,                0.00238,                 2.3442,                 4.1718,                 1.7402,             8.3281e-05,             8.3281e-05,             8.3281e-05
                      3,                 1.9807,                 4.0741,                 1.4796,                0.00307,                    0.5,                 0.4975,                0.24875,                 1.8722,                 3.4636,                 1.2262,             0.00013314,             0.00013314,             0.00013314
                      4,                 1.4786,                 3.1846,                 1.1135,                0.00679,                      1,                 0.4975,                0.24875,                  1.766,                 3.2973,                 1.1109,             0.00018292,             0.00018292,             0.00018292
                      5,                 1.4341,                 2.4308,                 1.1208,                0.00687,                      1,                0.41458,                0.23217,                 1.4459,                 3.1083,                 1.1079,             0.00023261,             0.00023261,             0.00023261
                      6,                 1.2879,                 2.1013,                 1.0409,                0.00694,                      1,                 0.4975,                0.24875,                 1.3781,                 3.1625,                 1.1402,             0.00028222,             0.00028222,             0.00028222
                      7,                 1.1455,                 1.7631,                0.97124,                0.00684,                      1,                0.74625,                0.34825,                 1.2259,                 3.2344,                 1.1327,             0.00033175,             0.00033175,             0.00033175
                      8,                 1.1949,                 1.5656,                0.99998,                0.00698,                      1,                0.74625,                0.34825,                   1.27,                 3.2044,                 1.1321,              0.0003812,              0.0003812,              0.0003812
                      9,                 1.1503,                  1.545,                 0.9981,                 0.0068,                      1,                0.11401,                0.05804,                 1.2917,                 3.0945,                 1.1693,             0.00043056,             0.00043056,             0.00043056
                     10,                 1.1221,                 1.3727,                0.98046,                0.00693,                      1,                0.52368,                0.45822,                 1.3806,                 3.0792,                 1.1845,             0.00047984,             0.00047984,             0.00047984
                     11,                 1.1432,                 1.2882,                0.98345,                0.00397,                    0.5,                0.00975,                0.00488,                 1.4706,                 3.1632,                 1.1989,             0.00052904,             0.00052904,             0.00052904
                     12,                 1.1613,                 1.3263,                 1.0025,                  0.004,                    0.5,                0.00553,                0.00221,                 1.2922,                 3.3213,                 1.1516,             0.00057816,             0.00057816,             0.00057816
                     13,                  1.146,                 1.4328,                 1.0248,                0.00667,                      1,                0.00676,                 0.0037,                 1.1803,                 3.3528,                 1.1345,             0.00062719,             0.00062719,             0.00062719
                     14,                 1.1261,                  1.237,                0.99189,                0.00669,                      1,                0.00877,                0.00289,                 1.2124,                 3.2755,                 1.1337,             0.00067614,             0.00067614,             0.00067614
                     15,                 1.1231,                 1.1993,                0.98519,                0.00667,                      1,                0.01151,                0.00527,                 1.1346,                 3.3135,                  1.149,             0.00072501,             0.00072501,             0.00072501
                     16,                 1.1358,                 1.1857,                 0.9902,                0.00667,                      1,                0.50707,                0.25258,                 1.0567,                 3.2352,                 1.1049,             0.00077379,             0.00077379,             0.00077379
                     17,                   1.18,                 1.3586,                 1.0675,                0.00667,                      1,                  0.995,                0.40025,                 1.2114,                 3.1401,                 1.0837,              0.0008225,              0.0008225,              0.0008225
                     18,                 1.2461,                  1.127,                 1.0168,                0.00667,                      1,                0.74625,                0.47263,                 1.2391,                 3.0378,                 1.1138,             0.00087112,             0.00087112,             0.00087112
                     19,                 1.1979,                  1.098,                 1.0717,                0.00667,                      1,                  0.995,                0.64675,                 1.2476,                 3.0208,                 1.1227,             0.00091966,             0.00091966,             0.00091966
                     20,                 1.1112,                 1.1531,                 1.0093,                0.00667,                      1,                  0.995,                 0.6965,                 1.2064,                 2.9837,                 1.1251,             0.00096811,             0.00096811,             0.00096811
                     21,                  1.122,                  1.194,                 1.0564,                0.00667,                      1,                  0.995,                0.74625,                 1.1503,                  2.762,                 1.1183,              0.0010165,              0.0010165,              0.0010165
                     22,                 1.1659,                 1.0824,                 1.0274,                0.00667,                      1,                  0.995,                 0.6965,                 1.2051,                 2.6241,                  1.165,              0.0010648,              0.0010648,              0.0010648
                     23,                 1.0809,                 1.0797,                0.97389,                0.00668,                      1,                  0.995,                 0.6965,                 1.1567,                 2.8562,                 1.1636,               0.001113,               0.001113,               0.001113
                     24,                 1.0773,                 1.1378,                0.99273,                 0.0067,                      1,                  0.995,                 0.6965,                 1.2901,                  2.855,                 1.1688,              0.0011611,              0.0011611,              0.0011611
                     25,                 1.1136,                 1.1752,                 1.0077,                0.00667,                      1,                  0.995,                 0.6965,                 1.3509,                 2.5337,                 1.1988,              0.0012092,              0.0012092,              0.0012092
                     26,                 1.1812,                 1.0773,                 1.0177,                0.64372,                      1,                  0.995,                0.64675,                 1.3106,                 2.1197,                 1.1968,              0.0012571,              0.0012571,              0.0012571
                     27,                 1.0851,                  1.117,                 1.0184,                 0.5947,                      1,                  0.995,                 0.6965,                 1.2498,                 2.1256,                  1.151,               0.001305,               0.001305,               0.001305
                     28,                 1.1064,                 1.0618,                 1.0186,                0.62849,                      1,                  0.995,                0.64675,                 1.3975,                 2.1116,                 1.1857,              0.0013528,              0.0013528,              0.0013528
                     29,                 1.1148,                 1.0589,                 1.0347,                0.62849,                      1,                  0.995,                0.64675,                 1.3975,                 2.1116,                 1.1857,              0.0014005,              0.0014005,              0.0014005
                     30,                 1.0436,                 1.0602,                 1.0104,                0.75824,                      1,                  0.995,                0.64675,                 1.4161,                 1.9044,                 1.1623,              0.0014481,              0.0014481,              0.0014481
                     31,                 1.1139,                0.97179,                0.98739,                0.71229,                      1,                  0.995,                 0.6965,                 1.2235,                 1.7767,                 1.1239,              0.0014957,              0.0014957,              0.0014957
                     32,                  1.104,                0.95679,                0.98418,                0.67873,                      1,                  0.995,                0.74625,                 1.2987,                 1.7426,                 1.1221,              0.0015431,              0.0015431,              0.0015431
                     33,                 1.1225,                 1.0207,                 1.0551,                0.67873,                      1,                  0.995,                0.74625,                 1.2987,                 1.7426,                 1.1221,              0.0015905,              0.0015905,              0.0015905
                     34,                 1.1034,                  1.018,                 1.0248,                0.68543,                      1,                  0.995,                0.64675,                 1.5158,                 1.7172,                 1.2129,              0.0016216,              0.0016216,              0.0016216
                     35,                 1.1517,                 1.1024,                 1.0343,                 0.7276,                      1,                  0.995,                0.54725,                 1.8229,                  1.688,                 1.3804,              0.0016216,              0.0016216,              0.0016216
