                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7239,                 3.3878,                 1.2017,                0.00535,                0.95455,                0.64791,                0.32067,                  1.225,                 3.4453,                0.96938,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.3695,                 1.7075,                  1.077,                0.00354,                0.61648,                0.42004,                 0.2428,                 1.2308,                 3.4125,                0.99015,             0.00058297,             0.00058297,             0.00058297
                      3,                 1.4175,                 1.6443,                 1.1189,                      1,                0.05774,                0.63129,                0.43264,                 1.2583,                 3.1528,                 1.0396,             0.00088205,             0.00088205,             0.00088205
                      4,                 1.3469,                 1.3474,                  1.127,                0.93783,                0.41122,                0.95859,                0.59453,                 1.2874,                 2.4552,                 1.0836,              0.0011806,              0.0011806,              0.0011806
                      5,                 1.3813,                 1.2938,                 1.1319,                0.93551,                0.82502,                0.93299,                0.54984,                 1.2795,                 2.0755,                 1.0784,              0.0014787,              0.0014787,              0.0014787
                      6,                 1.3484,                 1.2523,                 1.1028,                0.92278,                0.92845,                0.94949,                0.55743,                 1.3069,                 1.5715,                 1.2025,              0.0016601,              0.0016601,              0.0016601
                      7,                 1.3566,                 1.2341,                 1.1402,                0.85051,                 0.9905,                0.94694,                0.56904,                 1.3775,                 1.4221,                 1.1463,              0.0016601,              0.0016601,              0.0016601
                      8,                 1.3722,                 1.1308,                 1.0992,                0.85372,                0.95455,                0.97637,                0.64383,                  1.269,                 1.2131,                 1.0889,              0.0016587,              0.0016587,              0.0016587
                      9,                 1.2776,                 1.0777,                  1.089,                0.76918,                0.80625,                0.91189,                0.51474,                 1.3962,                 1.2551,                 1.2086,              0.0016574,              0.0016574,              0.0016574
                     10,                  1.365,                 1.0526,                 1.1348,                0.99078,                0.98574,                  0.995,                0.61825,                 1.2965,                0.96795,                 1.1419,               0.001656,               0.001656,               0.001656
                     11,                 1.3391,                 1.0046,                 1.0982,                0.89845,                      1,                 0.9758,                0.60703,                 1.2691,                0.94503,                 1.1111,              0.0016546,              0.0016546,              0.0016546
                     12,                  1.313,                0.93469,                 1.1151,                0.90847,                      1,                0.98115,                0.63201,                  1.353,                0.90298,                 1.1151,              0.0016532,              0.0016532,              0.0016532
                     13,                 1.3413,                0.92943,                 1.1165,                0.90647,                      1,                 0.9404,                0.51569,                 1.5606,                0.95991,                 1.2246,              0.0016519,              0.0016519,              0.0016519
                     14,                 1.3331,                0.91919,                 1.1008,                0.97784,                0.94672,                0.98808,                0.56542,                 1.2853,                0.90136,                 1.0971,              0.0016505,              0.0016505,              0.0016505
                     15,                 1.2935,                0.87607,                 1.1073,                0.92882,                0.98142,                0.95354,                0.60013,                 1.2635,                0.90301,                 1.0711,              0.0016491,              0.0016491,              0.0016491
                     16,                 1.3011,                 0.8268,                 1.1082,                0.90468,                      1,                 0.9758,                0.66931,                 1.1903,                0.79961,                 1.0438,              0.0016477,              0.0016477,              0.0016477
                     17,                 1.3352,                 0.8449,                 1.1256,                0.95548,                0.95455,                0.98808,                0.61682,                 1.2613,                0.84617,                 1.0855,              0.0016464,              0.0016464,              0.0016464
                     18,                  1.273,                 0.8103,                 1.0859,                0.89893,                      1,                0.94515,                0.57621,                 1.4427,                0.85573,                 1.1863,               0.001645,               0.001645,               0.001645
                     19,                 1.2967,                0.75652,                 1.0883,                 0.9215,                0.99095,                0.96125,                0.58518,                 1.3093,                 0.8039,                 1.1119,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2244,                0.74283,                 1.0757,                0.93209,                      1,                0.95354,                0.61324,                 1.2655,                0.70573,                 1.1024,              0.0016422,              0.0016422,              0.0016422
                     21,                 1.3051,                0.74887,                 1.0837,                0.90421,                0.95455,                0.93711,                0.58099,                 1.2862,                0.72385,                 1.1142,              0.0016409,              0.0016409,              0.0016409
                     22,                 1.3074,                0.77464,                 1.1082,                0.84106,                0.85559,                0.86651,                0.49858,                 1.5022,                0.99878,                 1.2299,              0.0016395,              0.0016395,              0.0016395
                     23,                 1.2845,                0.72163,                 1.1016,                0.86228,                0.85534,                0.94437,                0.58722,                 1.3175,                0.81157,                 1.1378,              0.0016381,              0.0016381,              0.0016381
                     24,                 1.3038,                0.73072,                 1.1044,                0.94466,                0.99711,                0.95354,                0.55229,                 1.3977,                0.67993,                 1.1913,              0.0016367,              0.0016367,              0.0016367
                     25,                 1.2838,                0.70998,                 1.0795,                0.92394,                      1,                0.97272,                0.55122,                 1.3822,                0.60001,                 1.1924,              0.0016354,              0.0016354,              0.0016354
                     26,                 1.2837,                0.68138,                 1.0948,                0.91686,                      1,                0.96315,                0.61049,                 1.3137,                0.62113,                  1.137,               0.001634,               0.001634,               0.001634
                     27,                 1.2552,                0.67825,                 1.1025,                0.88508,                0.98589,                0.89923,                0.57527,                 1.3124,                0.74546,                  1.132,              0.0016326,              0.0016326,              0.0016326
                     28,                 1.2978,                0.67514,                 1.1169,                0.93959,                      1,                0.97625,                 0.5943,                 1.3819,                0.61829,                 1.1269,              0.0016312,              0.0016312,              0.0016312
                     29,                 1.2629,                0.69452,                 1.0918,                0.95285,                      1,                0.97625,                0.60406,                 1.4141,                 0.6372,                 1.1626,              0.0016299,              0.0016299,              0.0016299
                     30,                 1.2913,                0.69712,                 1.0998,                0.91105,                0.99225,                0.95535,                0.59066,                  1.296,                 0.6201,                   1.13,              0.0016285,              0.0016285,              0.0016285
                     31,                 1.2667,                0.68169,                  1.101,                0.93844,                0.99387,                0.95354,                0.60836,                 1.2836,                0.75353,                 1.0881,              0.0016271,              0.0016271,              0.0016271
                     32,                 1.2898,                0.67921,                 1.0943,                0.95236,                0.99018,                   0.98,                0.59249,                 1.3302,                0.63148,                 1.1354,              0.0016257,              0.0016257,              0.0016257
                     33,                 1.2583,                0.64772,                 1.0796,                0.91104,                      1,                0.94694,                 0.5845,                 1.3237,                0.61123,                  1.159,              0.0016244,              0.0016244,              0.0016244
                     34,                 1.2851,                0.67036,                 1.1011,                0.95088,                      1,                0.99125,                0.60889,                 1.3618,                0.58237,                 1.1383,               0.001623,               0.001623,               0.001623
                     35,                 1.2845,                0.64848,                 1.0768,                0.91845,                      1,                  0.995,                0.66104,                 1.2591,                0.63702,                 1.0992,              0.0016216,              0.0016216,              0.0016216
                     36,                 1.2937,                0.65912,                 1.0928,                0.97042,                0.95455,                0.98808,                0.64761,                 1.2466,                0.59564,                 1.0788,              0.0016202,              0.0016202,              0.0016202
                     37,                 1.2758,                 0.6887,                 1.0923,                0.91038,                      1,                0.93918,                0.60228,                  1.205,                0.63297,                 1.0658,              0.0016189,              0.0016189,              0.0016189
                     38,                 1.3078,                0.65124,                 1.1167,                0.90274,                      1,                0.97171,                0.63062,                  1.251,                0.59385,                 1.0844,              0.0016175,              0.0016175,              0.0016175
                     39,                 1.2639,                0.63608,                 1.0792,                0.94629,                      1,                0.98375,                0.59422,                 1.2938,                0.56485,                 1.1463,              0.0016161,              0.0016161,              0.0016161
                     40,                 1.2587,                0.65032,                 1.0924,                0.94459,                0.98904,                0.95354,                0.59088,                 1.3373,                0.66867,                 1.1821,              0.0016147,              0.0016147,              0.0016147
                     41,                 1.2509,                0.61241,                  1.095,                0.95299,                      1,                 0.9725,                0.59434,                 1.3686,                0.59691,                  1.183,              0.0016134,              0.0016134,              0.0016134
                     42,                 1.2441,                 0.6073,                  1.079,                0.94781,                0.97871,                0.99125,                0.61689,                 1.3358,                0.58024,                 1.1444,               0.001612,               0.001612,               0.001612
                     43,                 1.2793,                0.62517,                 1.1065,                0.93332,                      1,                0.99125,                0.63224,                 1.2438,                 0.5481,                 1.0969,              0.0016106,              0.0016106,              0.0016106
                     44,                 1.2619,                 0.6165,                 1.0771,                0.94411,                      1,                0.98375,                0.64155,                 1.2624,                0.54166,                 1.1344,              0.0016092,              0.0016092,              0.0016092
                     45,                 1.2816,                0.62272,                 1.1013,                0.91735,                      1,                 0.9875,                 0.6461,                 1.2919,                0.56348,                 1.1378,              0.0016079,              0.0016079,              0.0016079
                     46,                 1.2891,                0.61381,                 1.0769,                0.99458,                0.97978,                  0.995,                0.65854,                 1.2328,                0.53546,                 1.0859,              0.0016065,              0.0016065,              0.0016065
                     47,                 1.2394,                0.59613,                 1.0682,                0.94712,                      1,                  0.995,                0.64253,                 1.2693,                 0.5563,                 1.1052,              0.0016051,              0.0016051,              0.0016051
                     48,                 1.2708,                0.61378,                 1.0806,                0.92107,                      1,                0.99125,                0.66082,                 1.2353,                0.57241,                 1.0635,              0.0016037,              0.0016037,              0.0016037
                     49,                 1.2534,                0.59858,                 1.0828,                0.95207,                      1,                0.99125,                0.60807,                 1.3498,                0.57092,                 1.1551,              0.0016024,              0.0016024,              0.0016024
                     50,                 1.2694,                0.60457,                 1.0968,                0.95601,                      1,                 0.9875,                 0.6545,                 1.2234,                 0.5333,                 1.0959,               0.001601,               0.001601,               0.001601
                     51,                 1.2768,                0.60571,                 1.1098,                0.94587,                0.99249,                 0.9875,                0.64303,                 1.2539,                0.53643,                 1.1036,              0.0015996,              0.0015996,              0.0015996
                     52,                 1.2554,                0.59729,                 1.0983,                0.93913,                      1,                 0.9575,                0.57862,                 1.3474,                0.61362,                 1.1666,              0.0015982,              0.0015982,              0.0015982
                     53,                 1.2461,                0.60628,                 1.0885,                0.99667,                0.98794,                  0.995,                0.68137,                 1.2442,                0.53095,                 1.0836,              0.0015969,              0.0015969,              0.0015969
                     54,                 1.2755,                0.59688,                 1.1093,                0.97457,                0.95455,                0.98808,                0.61387,                 1.3862,                0.60895,                 1.2364,              0.0015955,              0.0015955,              0.0015955
                     55,                 1.2285,                 0.5893,                 1.0957,                0.98987,                      1,                  0.995,                0.61627,                 1.3017,                 0.5339,                 1.1294,              0.0015941,              0.0015941,              0.0015941
                     56,                 1.2114,                0.58669,                 1.0603,                0.98399,                      1,                  0.995,                0.62743,                 1.3487,                0.55425,                 1.1372,              0.0015927,              0.0015927,              0.0015927
                     57,                 1.2519,                0.59898,                 1.0918,                0.94801,                      1,                0.97625,                0.60573,                 1.3924,                0.56135,                 1.1639,              0.0015914,              0.0015914,              0.0015914
                     58,                  1.213,                0.60118,                 1.0805,                0.95098,                0.98753,                  0.995,                0.63072,                 1.3552,                0.58213,                 1.1456,                0.00159,                0.00159,                0.00159
                     59,                  1.241,                0.59488,                 1.0997,                0.93696,                0.98694,                0.96125,                0.62835,                 1.2816,                0.57532,                 1.0827,              0.0015886,              0.0015886,              0.0015886
                     60,                 1.2473,                0.60641,                   1.09,                0.95191,                      1,                0.96125,                0.58736,                 1.3362,                0.61538,                 1.1441,              0.0015872,              0.0015872,              0.0015872
                     61,                 1.2322,                 0.5779,                 1.0834,                0.95073,                      1,                0.97625,                0.64288,                 1.2825,                 0.5347,                 1.1168,              0.0015859,              0.0015859,              0.0015859
                     62,                 1.2163,                0.57594,                   1.09,                0.95177,                      1,                0.98375,                0.62244,                 1.2862,                0.53465,                  1.116,              0.0015845,              0.0015845,              0.0015845
                     63,                  1.232,                0.58516,                 1.0658,                0.95255,                0.99965,                  0.965,                0.62377,                 1.2653,                0.52812,                 1.1124,              0.0015831,              0.0015831,              0.0015831
                     64,                 1.2211,                0.57694,                 1.0694,                0.94463,                 0.9991,                0.97625,                0.58625,                 1.3279,                0.56914,                 1.1706,              0.0015817,              0.0015817,              0.0015817
                     65,                 1.2123,                0.56436,                 1.0813,                 0.9427,                0.99701,                0.95354,                 0.6246,                 1.2857,                0.55886,                 1.1118,              0.0015804,              0.0015804,              0.0015804
                     66,                 1.2594,                0.58113,                 1.1146,                0.95401,                      1,                  0.995,                0.64539,                 1.2466,                0.53053,                 1.1036,               0.001579,               0.001579,               0.001579
                     67,                 1.2537,                0.58102,                 1.0936,                0.92109,                      1,                  0.995,                0.61417,                 1.3294,                0.58791,                 1.1823,              0.0015776,              0.0015776,              0.0015776
                     68,                 1.2464,                0.58079,                 1.0878,                0.95099,                      1,                 0.9725,                0.66419,                 1.2287,                0.52957,                 1.0901,              0.0015762,              0.0015762,              0.0015762
                     69,                 1.2201,                0.58391,                 1.0953,                 0.9094,                      1,                0.95535,                0.62829,                 1.2347,                 0.5646,                 1.0749,              0.0015749,              0.0015749,              0.0015749
                     70,                 1.2124,                0.56176,                  1.072,                0.92163,                      1,                0.96125,                0.60782,                 1.2775,                0.55738,                  1.124,              0.0015735,              0.0015735,              0.0015735
                     71,                 1.2317,                0.56526,                 1.0636,                0.95493,                0.98269,                0.99125,                0.61967,                 1.3431,                0.56588,                 1.1507,              0.0015721,              0.0015721,              0.0015721
                     72,                 1.2815,                0.59253,                 1.0943,                0.94043,                      1,                0.98375,                0.63365,                 1.2475,                0.52891,                 1.0907,              0.0015707,              0.0015707,              0.0015707
                     73,                 1.2666,                0.57897,                 1.0921,                0.94585,                      1,                0.95354,                0.59629,                 1.3171,                 0.5528,                 1.1632,              0.0015694,              0.0015694,              0.0015694
                     74,                 1.2178,                0.55022,                 1.0738,                0.91759,                      1,                0.94965,                 0.6194,                 1.3051,                0.55602,                 1.1331,               0.001568,               0.001568,               0.001568
                     75,                 1.2323,                0.56473,                  1.081,                0.91492,                      1,                0.95415,                0.61132,                 1.2191,                0.54587,                 1.1037,              0.0015666,              0.0015666,              0.0015666
                     76,                 1.1971,                0.56304,                 1.0737,                0.93919,                      1,                0.97625,                0.62401,                 1.3235,                0.59013,                 1.1367,              0.0015652,              0.0015652,              0.0015652
                     77,                 1.2163,                0.56843,                 1.0887,                0.98816,                0.95455,                0.98808,                0.62851,                 1.3693,                0.60273,                 1.1587,              0.0015639,              0.0015639,              0.0015639
                     78,                 1.2324,                 0.5626,                 1.0765,                0.91522,                      1,                0.98808,                0.54158,                 1.4932,                0.60512,                 1.2796,              0.0015625,              0.0015625,              0.0015625
                     79,                 1.2352,                0.56793,                 1.1029,                0.91332,                      1,                0.97171,                0.62324,                 1.3082,                0.54266,                 1.1436,              0.0015611,              0.0015611,              0.0015611
                     80,                 1.1982,                0.56267,                 1.0782,                0.86214,                0.97252,                0.97665,                0.59405,                 1.3446,                 1.0436,                 1.1801,              0.0015597,              0.0015597,              0.0015597
                     81,                 1.2077,                0.57539,                 1.0733,                0.93795,                0.97847,                0.98375,                0.61481,                 1.3573,                0.56595,                 1.1877,              0.0015584,              0.0015584,              0.0015584
                     82,                  1.218,                0.55147,                 1.0872,                0.91736,                      1,                0.98808,                0.64989,                 1.2654,                0.52284,                 1.1021,               0.001557,               0.001557,               0.001557
                     83,                 1.1891,                0.56121,                 1.0732,                0.99221,                0.99189,                  0.995,                0.64732,                 1.3184,                0.54338,                 1.1245,              0.0015556,              0.0015556,              0.0015556
                     84,                 1.2144,                0.56402,                 1.0883,                0.92939,                      1,                0.96875,                0.63962,                 1.3125,                0.53964,                 1.1541,              0.0015542,              0.0015542,              0.0015542
                     85,                 1.2039,                0.55978,                 1.0758,                0.94878,                0.98601,                  0.965,                 0.6521,                 1.2231,                0.51959,                 1.0961,              0.0015529,              0.0015529,              0.0015529
                     86,                 1.1786,                0.54656,                 1.0554,                0.91901,                      1,                 0.9875,                0.60215,                 1.3539,                0.53507,                 1.1655,              0.0015515,              0.0015515,              0.0015515
                     87,                 1.2183,                0.55013,                 1.0704,                0.94778,                0.96637,                  0.995,                0.66613,                 1.2853,                0.50589,                 1.1475,              0.0015501,              0.0015501,              0.0015501
                     88,                 1.2321,                0.56509,                 1.0973,                0.98551,                      1,                  0.995,                0.64058,                 1.2847,                0.49443,                  1.161,              0.0015487,              0.0015487,              0.0015487
                     89,                 1.1961,                0.55676,                 1.0726,                0.93854,                0.98717,                0.97625,                0.64125,                 1.2822,                0.54891,                 1.1508,              0.0015474,              0.0015474,              0.0015474
                     90,                 1.1871,                0.56771,                 1.0808,                0.95189,                      1,                0.96875,                0.67318,                 1.2282,                0.52593,                 1.0928,               0.001546,               0.001546,               0.001546
                     91,                  1.197,                0.55802,                 1.0846,                0.95082,                      1,                0.95354,                 0.6302,                 1.2545,                0.49505,                 1.1175,              0.0015446,              0.0015446,              0.0015446
                     92,                 1.1752,                0.54509,                 1.0764,                0.95379,                      1,                0.95354,                 0.6051,                 1.3021,                0.53895,                 1.1333,              0.0015432,              0.0015432,              0.0015432
                     93,                 1.1749,                0.54411,                 1.0565,                 0.9514,                      1,                0.97625,                0.64094,                 1.2524,                0.53048,                 1.0865,              0.0015418,              0.0015418,              0.0015418
                     94,                 1.2083,                0.53509,                 1.0732,                0.94662,                      1,                0.97625,                 0.6311,                 1.3462,                0.57897,                 1.1503,              0.0015405,              0.0015405,              0.0015405
                     95,                  1.191,                0.55256,                 1.0621,                0.94613,                      1,                  0.995,                0.64151,                 1.3104,                0.54055,                 1.1384,              0.0015391,              0.0015391,              0.0015391
                     96,                 1.1909,                0.54592,                 1.0731,                0.93771,                      1,                0.99125,                0.66991,                 1.2969,                0.54332,                 1.1295,              0.0015377,              0.0015377,              0.0015377
                     97,                 1.2052,                0.54651,                 1.0899,                0.95083,                      1,                0.98375,                0.67421,                  1.294,                  0.538,                 1.1294,              0.0015363,              0.0015363,              0.0015363
                     98,                 1.2225,                0.55291,                 1.0837,                0.95189,                      1,                 0.9575,                0.64593,                 1.2708,                0.51718,                 1.1185,               0.001535,               0.001535,               0.001535
                     99,                 1.2083,                0.53733,                 1.0688,                0.95153,                      1,                 0.9725,                0.63934,                 1.2803,                0.51508,                 1.1343,              0.0015336,              0.0015336,              0.0015336
                    100,                  1.217,                0.54022,                 1.0859,                0.95147,                      1,                  0.965,                0.66658,                 1.2119,                0.49543,                 1.1079,              0.0015322,              0.0015322,              0.0015322
                    101,                 1.2055,                0.53955,                 1.0768,                0.95033,                      1,                 0.9725,                0.64636,                 1.2542,                0.52574,                 1.1351,              0.0015308,              0.0015308,              0.0015308
                    102,                  1.185,                0.53831,                 1.0677,                0.95147,                      1,                0.98375,                0.66403,                  1.251,                0.49633,                 1.1227,              0.0015295,              0.0015295,              0.0015295
                    103,                 1.1894,                0.52979,                 1.0839,                0.98483,                      1,                  0.995,                0.61437,                 1.4615,                0.53097,                 1.2449,              0.0015281,              0.0015281,              0.0015281
